,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
2,AdaBoostClassifier,0.19788892509126244,0.21359223300970873,0.012943348590381671,gini,,1,best,,,0.17529411764705882,5,
7,AdaBoostClassifier,0.19599948631932085,0.21359223300970873,0.01583297357139546,gini,,1,best,,,0.16705882352941176,15,
222,AdaBoostClassifier,0.17963861637588396,0.21248499399759904,0.0377569687202185,gini,2,4,random,,,0.10823529411764705,13,
152,AdaBoostClassifier,0.19507533026495152,0.21237864077669902,0.020308624980095197,gini,1,5,random,,,0.15529411764705883,1,
175,AdaBoostClassifier,0.1964993637620318,0.21237864077669902,0.023249694597480004,gini,2,1,random,,,0.15176470588235294,15,
254,AdaBoostClassifier,0.16056942653716239,0.2116527942925089,0.027620631131269616,gini,3,1,random,,,0.12845138055222088,13,
301,AdaBoostClassifier,0.16820936016854188,0.2111650485436893,0.02955129660448198,gini,3,4,random,,,0.13148371531966224,11,
286,AdaBoostClassifier,0.18399440581911414,0.2111650485436893,0.023858016061359816,gini,3,3,random,,,0.15058823529411763,13,
252,AdaBoostClassifier,0.17422277087164093,0.20989143546441497,0.02295955170211845,gini,3,1,random,,,0.1388235294117647,9,
8,AdaBoostClassifier,0.18907617918741582,0.20768307322929172,0.019656173846108436,gini,,1,random,,,0.15176470588235294,1,
9,AdaBoostClassifier,0.19093614889526536,0.20752427184466019,0.013293516141576282,gini,,1,random,,,0.16705882352941176,3,
317,AdaBoostClassifier,0.1748066814308074,0.20528211284513806,0.022182238191924223,gini,3,5,random,,,0.14805825242718446,11,
14,AdaBoostClassifier,0.18782503982779739,0.20509708737864077,0.012283734101789387,gini,,1,random,,,0.17058823529411765,13,
13,AdaBoostClassifier,0.1835551741840945,0.20386007237635706,0.023180519581581415,gini,,1,random,,,0.14352941176470588,11,
104,AdaBoostClassifier,0.18921575075735206,0.20332936979785968,0.01562741008898434,gini,1,2,random,,,0.16117647058823528,1,
270,AdaBoostClassifier,0.17552387009640402,0.19976218787158145,0.019564364505926978,gini,3,2,random,,,0.1452581032412965,13,
271,AdaBoostClassifier,0.1507264582465224,0.1985731272294887,0.023996762158227204,gini,3,2,random,,,0.13713592233009708,15,
207,AdaBoostClassifier,0.16134306851760463,0.19738406658739596,0.01970438250642893,gini,2,3,random,,,0.14234016887816647,15,
302,AdaBoostClassifier,0.17218536321121966,0.19687875150060025,0.016520894784152633,gini,3,4,random,,,0.15058823529411763,13,
268,AdaBoostClassifier,0.17546585652626215,0.19662243667068757,0.021765707620732003,gini,3,2,random,,,0.13529411764705881,9,
285,AdaBoostClassifier,0.1505412462912123,0.19500594530321047,0.02659046829584249,gini,3,3,random,,,0.12004801920768307,11,
120,AdaBoostClassifier,0.18132952296091717,0.19447779111644659,0.012691505759086254,gini,1,3,random,,,0.16117647058823528,1,
319,AdaBoostClassifier,0.16384315351993475,0.18967587034813926,0.014807803383789371,gini,3,5,random,,,0.14588235294117646,15,
255,AdaBoostClassifier,0.16766973249930567,0.178359096313912,0.011799869798344778,gini,3,1,random,,,0.14470588235294118,15,
303,AdaBoostClassifier,0.14695158086009913,0.17286914765906364,0.021762666898372602,gini,3,4,random,,,0.10823529411764705,15,
287,AdaBoostClassifier,0.14746456702767416,0.16767189384800965,0.013610334254907493,gini,3,3,random,,,0.12605042016806722,15,
