,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
247,AdaBoostClassifier,0.3969627658196353,0.47137014314928427,0.06045066283146105,gini,3,1,best,,,0.308868501529052,15,
25,AdaBoostClassifier,0.44653843458923503,0.4704081632653061,0.026300456169404376,gini,,2,random,,,0.4138634046890928,3,
113,AdaBoostClassifier,0.4436448142604821,0.4703476482617587,0.022499800576949443,gini,1,3,best,,,0.4059304703476483,3,
129,AdaBoostClassifier,0.4436448142604821,0.4703476482617587,0.022499800576949443,gini,1,4,best,,,0.4059304703476483,3,
81,AdaBoostClassifier,0.4436448142604821,0.4703476482617587,0.022499800576949443,gini,1,1,best,,,0.4059304703476483,3,
97,AdaBoostClassifier,0.4436448142604821,0.4703476482617587,0.022499800576949443,gini,1,2,best,,,0.4059304703476483,3,
145,AdaBoostClassifier,0.4436448142604821,0.4703476482617587,0.022499800576949443,gini,1,5,best,,,0.4059304703476483,3,
88,AdaBoostClassifier,0.446522183665684,0.46992864424057085,0.024948076521545393,gini,1,1,random,,,0.399592252803262,1,
237,AdaBoostClassifier,0.37151922332505916,0.46992864424057085,0.0938342928569462,gini,2,5,random,,,0.20449897750511248,11,
251,AdaBoostClassifier,0.4240314568258027,0.46938775510204084,0.02550449546712734,gini,3,1,random,,,0.40081799591002043,7,
155,AdaBoostClassifier,0.43875600858530694,0.46938775510204084,0.019058077112543557,gini,1,5,random,,,0.4148827726809378,7,
48,AdaBoostClassifier,0.43122540744407933,0.46932515337423314,0.030652912162335514,gini,,4,best,,,0.381243628950051,1,
261,AdaBoostClassifier,0.4383182495714558,0.4689092762487258,0.023264079295205575,gini,3,2,best,,,0.3997955010224949,11,
309,AdaBoostClassifier,0.4409915309625848,0.4683673469387755,0.030095014238865868,gini,3,5,best,,,0.40081799591002043,11,
189,AdaBoostClassifier,0.43123520292340495,0.46830265848670755,0.03617077248874179,gini,2,2,random,,,0.3720693170234455,11,
184,AdaBoostClassifier,0.4489722072577929,0.467280163599182,0.01618836621928095,gini,2,2,random,,,0.41896024464831805,1,
98,AdaBoostClassifier,0.4411958295635096,0.4662576687116564,0.022520489020209,gini,1,2,best,,,0.4059304703476483,5,
146,AdaBoostClassifier,0.4411958295635096,0.4662576687116564,0.022520489020209,gini,1,5,best,,,0.4059304703476483,5,
