,estimator,mean_score,max_score,std_score,alpha,hidden_layer_sizes,max_iter,random_state,solver,min_score
8,MLPClassifier,0.21016131808977856,0.2512135922330097,0.02308793677677576,0.1,10,9,0,lbfgs,0.1811764705882353
158,MLPClassifier,0.20920529296128051,0.2487864077669903,0.02284398458059431,0.0001,10,9,0,lbfgs,0.17882352941176471
58,MLPClassifier,0.20944310508969907,0.2487864077669903,0.02282489335390151,0.01,10,9,0,lbfgs,0.17882352941176471
308,MLPClassifier,0.20920529296128051,0.2487864077669903,0.02284398458059431,1e-07,10,9,0,lbfgs,0.17882352941176471
358,MLPClassifier,0.20920529296128051,0.2487864077669903,0.02284398458059431,1e-08,10,9,0,lbfgs,0.17882352941176471
408,MLPClassifier,0.20920529296128051,0.2487864077669903,0.02284398458059431,1e-09,10,9,0,lbfgs,0.17882352941176471
208,MLPClassifier,0.20920529296128051,0.2487864077669903,0.02284398458059431,1e-05,10,9,0,lbfgs,0.17882352941176471
108,MLPClassifier,0.20920529296128051,0.2487864077669903,0.02284398458059431,0.001,10,9,0,lbfgs,0.17882352941176471
258,MLPClassifier,0.20920529296128051,0.2487864077669903,0.02284398458059431,1e-06,10,9,0,lbfgs,0.17882352941176471
118,MLPClassifier,0.21858411758663915,0.24757281553398058,0.028062548792809443,0.001,11,9,0,lbfgs,0.16588235294117648
318,MLPClassifier,0.21858411758663915,0.24757281553398058,0.028062548792809443,1e-07,11,9,0,lbfgs,0.16588235294117648
68,MLPClassifier,0.21858411758663915,0.24757281553398058,0.028062548792809443,0.01,11,9,0,lbfgs,0.16588235294117648
368,MLPClassifier,0.21858411758663915,0.24757281553398058,0.028062548792809443,1e-08,11,9,0,lbfgs,0.16588235294117648
168,MLPClassifier,0.21858411758663915,0.24757281553398058,0.028062548792809443,0.0001,11,9,0,lbfgs,0.16588235294117648
18,MLPClassifier,0.2183440215482238,0.24757281553398058,0.028016091255495566,0.1,11,9,0,lbfgs,0.16588235294117648
218,MLPClassifier,0.21858411758663915,0.24757281553398058,0.028062548792809443,1e-05,11,9,0,lbfgs,0.16588235294117648
268,MLPClassifier,0.21858411758663915,0.24757281553398058,0.028062548792809443,1e-06,11,9,0,lbfgs,0.16588235294117648
418,MLPClassifier,0.21858411758663915,0.24757281553398058,0.028062548792809443,1e-09,11,9,0,lbfgs,0.16588235294117648
156,MLPClassifier,0.1903565916097776,0.2413793103448276,0.028308000622526287,0.0001,10,7,0,lbfgs,0.15411764705882353
56,MLPClassifier,0.1903565916097776,0.2413793103448276,0.028308000622526287,0.01,10,7,0,lbfgs,0.15411764705882353
6,MLPClassifier,0.19083314025094697,0.2413793103448276,0.027982084309905512,0.1,10,7,0,lbfgs,0.15529411764705883
406,MLPClassifier,0.1903565916097776,0.2413793103448276,0.028308000622526287,1e-09,10,7,0,lbfgs,0.15411764705882353
306,MLPClassifier,0.1903565916097776,0.2413793103448276,0.028308000622526287,1e-07,10,7,0,lbfgs,0.15411764705882353
356,MLPClassifier,0.1903565916097776,0.2413793103448276,0.028308000622526287,1e-08,10,7,0,lbfgs,0.15411764705882353
256,MLPClassifier,0.1903565916097776,0.2413793103448276,0.028308000622526287,1e-06,10,7,0,lbfgs,0.15411764705882353
106,MLPClassifier,0.1903565916097776,0.2413793103448276,0.028308000622526287,0.001,10,7,0,lbfgs,0.15411764705882353
206,MLPClassifier,0.1903565916097776,0.2413793103448276,0.028308000622526287,1e-05,10,7,0,lbfgs,0.15411764705882353
216,MLPClassifier,0.20211292827211363,0.23179611650485438,0.029329273483684054,1e-05,11,7,0,lbfgs,0.14588235294117646
316,MLPClassifier,0.20211292827211363,0.23179611650485438,0.029329273483684054,1e-07,11,7,0,lbfgs,0.14588235294117646
366,MLPClassifier,0.20211292827211363,0.23179611650485438,0.029329273483684054,1e-08,11,7,0,lbfgs,0.14588235294117646
266,MLPClassifier,0.20211292827211363,0.23179611650485438,0.029329273483684054,1e-06,11,7,0,lbfgs,0.14588235294117646
66,MLPClassifier,0.20211292827211363,0.23179611650485438,0.029329273483684054,0.01,11,7,0,lbfgs,0.14588235294117646
166,MLPClassifier,0.20211292827211363,0.23179611650485438,0.029329273483684054,0.0001,11,7,0,lbfgs,0.14588235294117646
16,MLPClassifier,0.20187511614369508,0.23179611650485438,0.029284667457234976,0.1,11,7,0,lbfgs,0.14588235294117646
416,MLPClassifier,0.20211292827211363,0.23179611650485438,0.029329273483684054,1e-09,11,7,0,lbfgs,0.14588235294117646
116,MLPClassifier,0.20211292827211363,0.23179611650485438,0.029329273483684054,0.001,11,7,0,lbfgs,0.14588235294117646
194,MLPClassifier,0.18632330844974318,0.21284185493460167,0.01868902538005729,0.0001,14,5,0,lbfgs,0.1588235294117647
192,MLPClassifier,0.1880087826394191,0.21284185493460167,0.018570557156888226,0.0001,14,3,0,lbfgs,0.15764705882352942
92,MLPClassifier,0.18824407675706611,0.21284185493460167,0.01818788542886289,0.01,14,3,0,lbfgs,0.1588235294117647
144,MLPClassifier,0.18632330844974318,0.21284185493460167,0.01868902538005729,0.001,14,5,0,lbfgs,0.1588235294117647
242,MLPClassifier,0.1880087826394191,0.21284185493460167,0.018570557156888226,1e-05,14,3,0,lbfgs,0.15764705882352942
244,MLPClassifier,0.18632330844974318,0.21284185493460167,0.01868902538005729,1e-05,14,5,0,lbfgs,0.1588235294117647
142,MLPClassifier,0.1880087826394191,0.21284185493460167,0.018570557156888226,0.001,14,3,0,lbfgs,0.15764705882352942
