,estimator,mean_score,max_score,std_score,C,gamma,kernel,min_score
1,SVC,0.5128825855777105,0.5387755102040817,0.023730799037738025,10,,linear,0.47196738022426094
0,SVC,0.5118613427247413,0.5357142857142857,0.02210838320764829,1,,linear,0.47706422018348627
4,SVC,0.4782072026574274,0.5245398773006135,0.04411246296041567,10,0.001,rbf,0.4108053007135576
5,SVC,0.4579639020952371,0.48261758691206547,0.019435850558248854,10,0.0001,rbf,0.43425076452599387
2,SVC,0.44142847187842327,0.46421267893660534,0.01839743271429112,1,0.001,rbf,0.4148827726809378
3,SVC,0.4371358707645081,0.4539877300613497,0.015566256179973816,1,0.0001,rbf,0.4108053007135576
