,estimator,mean_score,max_score,std_score,C,gamma,kernel,min_score
1,SVC,0.26139416234607216,0.28398058252427183,0.020631822091989868,10,,linear,0.2223529411764706
0,SVC,0.2535067124777599,0.27427184466019416,0.02467165656013784,1,,linear,0.20705882352941177
4,SVC,0.19126076510894854,0.22195416164053075,0.026602636955496525,10,0.001,rbf,0.1423529411764706
2,SVC,0.1649674666889201,0.16646562123039807,0.0015500968574049853,1,0.001,rbf,0.1623529411764706
3,SVC,0.1649674666889201,0.16646562123039807,0.0015500968574049853,1,0.0001,rbf,0.1623529411764706
5,SVC,0.1649674666889201,0.16646562123039807,0.0015500968574049853,10,0.0001,rbf,0.1623529411764706
